condition,description
priapism,"Priapism is a condition in which a penis remains erect for hours in the absence of stimulation or after stimulation has ended. There are three types: ischemic (low-flow), nonischemic (high-flow), and recurrent ischemic (intermittent). Most cases are ischemic. Ischemic priapism is generally painful while nonischemic priapism is not. In ischemic priapism, most of the penis is hard; however, the glans penis is not. In nonischemic priapism, the entire penis is only somewhat hard. Very rarely, clitoral priapism occurs in women."
myositis,"Myositis is a rarely-encountered medical condition characterized by inflammation affecting the muscles. The manifestations of this condition may include skin issues, muscle weakness, and the potential involvement of other organs. Additionally, systemic symptoms like weight loss, fatigue, and low-grade fever can manifest in individuals with myositis."
mononucleosis,"Infectious mononucleosis, also known as glandular fever, is an infection usually caused by the Epstein–Barr virus (EBV). Most people are infected by the virus as children, when the disease produces few or no symptoms. In young adults, the disease often results in fever, sore throat, enlarged lymph nodes in the neck, and fatigue. Most people recover in two to four weeks; however, feeling tired may last for months. The liver or spleen may also become swollen, and in less than one percent of cases splenic rupture may occur."
neuralgia,"Neuralgia is pain in the distribution of a nerve or nerves, as in intercostal neuralgia, trigeminal neuralgia, and glossopharyngeal neuralgia."
polycystic kidney disease,"Polycystic kidney disease is a genetic disorder in which the renal tubules become structurally abnormal, resulting in the development and growth of multiple cysts within the kidney. These cysts may begin to develop in utero, in infancy, in childhood, or in adulthood. Cysts are non-functioning tubules filled with fluid pumped into them, which range in size from microscopic to enormous, crushing adjacent normal tubules and eventually rendering them non-functional as well."
bipolar disorder,"Bipolar disorder, previously known as manic depression, is a mental disorder characterized by periods of depression and periods of abnormally elevated mood that each last from days to weeks, and in some cases months. If the elevated mood is severe or associated with psychosis, it is called mania; if it is less severe and does not significantly affect functioning, it is called hypomania. During mania, an individual behaves or feels abnormally energetic, happy, or irritable, and they often make impulsive decisions with little regard for the consequences. There is usually, but not always, a reduced need for sleep during manic phases. During periods of depression, the individual may experience crying, have a negative outlook on life, and demonstrate poor eye contact with others. The risk of suicide is high. Over a period of 20 years, 6% of those with bipolar disorder died by suicide, with about one-third attempting suicide in their lifetime. Among those with the disorder, 40–50% overall and 78% of adolescents engaged in self-harm. Other mental health issues, such as anxiety disorders and substance use disorders, are commonly associated with bipolar disorder. The global prevalence of bipolar disorder is estimated to be between 1–5% of the world's population."
amyloidosis,"Amyloidosis is a group of diseases in which abnormal proteins, known as amyloid fibrils, build up in tissue. There are several non-specific and vague signs and symptoms associated with amyloidosis. These include fatigue, peripheral edema, weight loss, shortness of breath, palpitations, and feeling faint with standing. In AL amyloidosis, specific indicators can include enlargement of the tongue and periorbital purpura. In wild-type ATTR amyloidosis, non-cardiac symptoms include: bilateral carpal tunnel syndrome, lumbar spinal stenosis, biceps tendon rupture, small fiber neuropathy, and autonomic dysfunction."
chronic inflammatory demyelinating polyneuropathy (cidp),Chronic inflammatory demyelinating polyneuropathy (CIDP) is an acquired autoimmune disease of the peripheral nervous system characterized by progressive weakness and impaired sensory function in the legs and arms. The disorder is sometimes called chronic relapsing polyneuropathy (CRP) or chronic inflammatory demyelinating polyradiculoneuropathy. CIDP is closely related to Guillain–Barré syndrome and it is considered the chronic counterpart of that acute disease. Its symptoms are also similar to progressive inflammatory neuropathy. It is one of several types of neuropathy.
gastroesophageal reflux disease (gerd),"Gastroesophageal reflux disease (GERD) or gastro-oesophageal reflux disease (GORD) is a chronic upper gastrointestinal disease in which stomach content persistently and regularly flows up into the esophagus, resulting in symptoms and/or complications. Symptoms include dental corrosion, dysphagia, heartburn, odynophagia, regurgitation, non-cardiac chest pain, extraesophageal symptoms such as chronic cough, hoarseness, reflux-induced laryngitis, or asthma. In the long term, and when not treated, complications such as esophagitis, esophageal stricture, and Barrett's esophagus may arise."
vitreous hemorrhage,"Vitreous hemorrhage is the extravasation, or leakage, of blood into the areas in and around the vitreous humor of the eye. The vitreous humor is the clear gel that fills the space between the lens and the retina of the eye. A variety of conditions can result in blood leaking into the vitreous humor, which can cause impaired vision, floaters, and photopsia."
poisoning due to antimicrobial drugs,"A poison is any chemical substance that is harmful or lethal to living organisms. The term is used in a wide range of scientific fields and industries, where it is often specifically defined. It may also be applied colloquially or figuratively, with a broad sense."
open wound of the mouth,"Wound licking is an instinctive response in humans and many other animals to cover an injury or second degree burn with saliva. Dogs, cats, small rodents, horses, and primates all lick wounds. Saliva contains tissue factor which promotes the blood clotting mechanism. The enzyme lysozyme is found in many tissues and is known to attack the cell walls of many gram-positive bacteria, aiding in defense against infection. Tears are also beneficial to wounds due to the lysozyme enzyme. However, there are also infection risks due to bacteria in the mouth."
scleroderma,"Scleroderma is a group of autoimmune diseases that may result in changes to the skin, blood vessels, muscles, and internal organs. The disease can be either localized to the skin or involve other organs, as well. Symptoms may include areas of thickened skin, stiffness, feeling tired, and poor blood flow to the fingers or toes with cold exposure. One form of the condition, known as CREST syndrome, classically results in calcium deposits, Raynaud's syndrome, esophageal problems, thickening of the skin of the fingers and toes, and areas of small, dilated blood vessels."
myasthenia gravis,"Myasthenia gravis (MG) is a long-term neuromuscular junction disease that leads to varying degrees of skeletal muscle weakness. The most commonly affected muscles are those of the eyes, face, and swallowing. It can result in double vision, drooping eyelids, and difficulties in talking and walking. Onset can be sudden. Those affected often have a large thymus or develop a thymoma."
hypoglycemia,"Hypoglycemia, also spelled hypoglycaemia or hypoglycæmia, sometimes called low blood sugar, is a fall in blood sugar to levels below normal, typically below 70 mg/dL (3.9 mmol/L). Whipple's triad is used to properly identify hypoglycemic episodes. It is defined as blood glucose below 70 mg/dL (3.9 mmol/L), symptoms associated with hypoglycemia, and resolution of symptoms when blood sugar returns to normal. Hypoglycemia may result in headache, tiredness, clumsiness, trouble talking, confusion, fast heart rate, sweating, shakiness, nervousness, hunger, loss of consciousness, seizures, or death. Symptoms typically come on quickly."
idiopathic absence of menstruation,"There are many cultural aspects surrounding how societies view menstruation. Different cultures view menstruation in different ways. The basis of many conduct norms and communication about menstruation in western industrial societies is the belief that menstruation should remain hidden. By contrast, in some indigenous hunter-gatherer societies, menstrual observances are viewed in a positive light, without any connotation of uncleanness. In most of India, menarche is celebrated as a rite of passage."
dislocation of the ankle,"A joint dislocation, also called luxation, occurs when there is an abnormal separation in the joint, where two or more bones meet. A partial dislocation is referred to as a subluxation. Dislocations are commonly caused by sudden trauma to the joint like during a car accident or fall. A joint dislocation can damage the surrounding ligaments, tendons, muscles, and nerves. Dislocations can occur in any major joint or minor joint. The most common joint dislocation is a shoulder dislocation."
carbon monoxide poisoning,"Carbon monoxide poisoning typically occurs from breathing in carbon monoxide (CO) at excessive levels. Symptoms are often described as ""flu-like"" and commonly include headache, dizziness, weakness, vomiting, chest pain, and confusion. Large exposures can result in loss of consciousness, arrhythmias, seizures, or death. The classically described ""cherry red skin"" rarely occurs. Long-term complications may include chronic fatigue, trouble with memory, and movement problems."
panic attack,"Panic attacks are sudden periods of intense fear and discomfort that may include palpitations, otherwise defined as a rapid, irregular heartbeat, sweating, chest pain or discomfort, shortness of breath, trembling, dizziness, numbness, confusion, or a sense of impending doom or loss of control. Typically, these symptoms are the worst within ten minutes of onset and can last for roughly 30 minutes, though they can vary anywhere from seconds to hours. While they can be extremely distressing, panic attacks themselves are not physically dangerous."
plantar fasciitis,"Plantar fasciitis or plantar heel pain is a disorder of the plantar fascia, which is the connective tissue that supports the arch of the foot. It results in pain in the heel and bottom of the foot that is usually most severe with the first steps of the day or following a period of rest. Pain is also frequently brought on by bending the foot and toes up towards the shin. The pain typically comes on gradually, and it affects both feet in about one-third of cases."
hyperopia,"Far-sightedness, also known as long-sightedness, hypermetropia, and hyperopia, is a condition of the eye where distant objects are seen clearly but near objects appear blurred. This blur is due to incoming light being focused behind, instead of on, the retina due to insufficient accommodation by the lens. Minor hypermetropia in young patients is usually corrected by their accommodation, without any defects in vision. But, due to this accommodative effort for distant vision, people may complain of eye strain during prolonged reading. If the hypermetropia is high, there will be defective vision for both distance and near. People may also experience accommodative dysfunction, binocular dysfunction, amblyopia, and strabismus. Newborns are almost invariably hypermetropic, but it gradually decreases as the newborn gets older."
poisoning due to sedatives,"A sedative or tranquilliser is a substance that induces sedation by reducing irritability or excitement. They are central nervous system (CNS) depressants and interact with brain activity causing its deceleration. Various kinds of sedatives can be distinguished, but the majority of them affect the neurotransmitter gamma-aminobutyric acid (GABA). Most sedatives produce relaxing effects by increasing GABA activity."
pemphigus,"Pemphigus is a rare group of blistering autoimmune diseases that affect the skin and mucous membranes. The name is derived from the Greek root pemphix, meaning ""blister""."
peyronie disease,"Peyronie's disease is a connective tissue disorder involving the growth of fibrous plaques in the soft tissue of the penis. Specifically, scar tissue forms in the tunica albuginea, the thick sheath of tissue surrounding the corpora cavernosa, causing pain, abnormal curvature, erectile dysfunction, indentation, loss of girth and shortening."
hiatal hernia,"A hiatal hernia or hiatus hernia is a type of hernia in which abdominal organs slip through the diaphragm into the middle compartment of the chest. This may result in gastroesophageal reflux disease (GERD) or laryngopharyngeal reflux (LPR) with symptoms such as a taste of acid in the back of the mouth or heartburn. Other symptoms may include trouble swallowing and chest pains. Complications may include iron deficiency anemia, volvulus, or bowel obstruction."
extrapyramidal effect of drugs,"Extrapyramidal symptoms (EPS) are symptoms that are archetypically associated with the extrapyramidal system of the brain's cerebral cortex. When such symptoms are caused by medications or other drugs, they are also known as extrapyramidal side effects (EPSE). The symptoms can be acute (short-term) or chronic (long-term). They include movement dysfunction such as dystonia, akathisia, parkinsonism characteristic symptoms such as rigidity, bradykinesia, tremor, and tardive dyskinesia. Extrapyramidal symptoms are a reason why subjects drop out of clinical trials of antipsychotics; of the 213 (14.6%) subjects that dropped out of one of the largest clinical trials of antipsychotics, 58 (27.2%) of those discontinuations were due to EPS."
meniere disease,"Ménière's disease (MD) is a disease of the inner ear that is characterized by potentially severe and incapacitating episodes of vertigo, tinnitus, hearing loss, and a feeling of fullness in the ear. Typically, only one ear is affected initially, but over time, both ears may become involved. Episodes generally last from 20 minutes to a few hours. The time between episodes varies. The hearing loss and ringing in the ears can become constant over time."
anal fissure,"An anal fissure is a break or tear in the skin of the anal canal. Anal fissures may be noticed by bright red anal bleeding on toilet paper and undergarments, or sometimes in the toilet. If acute they are painful after defecation, but with chronic fissures, pain intensity often reduces and becomes cyclical."
allergy,"Allergies, also known as allergic diseases, are various conditions caused by hypersensitivity of the immune system to typically harmless substances in the environment. These diseases include hay fever, food allergies, atopic dermatitis, allergic asthma, and anaphylaxis. Symptoms may include red eyes, an itchy rash, sneezing, coughing, a runny nose, shortness of breath, or swelling. Note that food intolerances and food poisoning are separate conditions."
chronic otitis media,"Otitis media is a group of inflammatory diseases of the middle ear. One of the two main types is acute otitis media (AOM), an infection of rapid onset that usually presents with ear pain. In young children this may result in pulling at the ear, increased crying, and poor sleep. Decreased eating and a fever may also be present."
fracture of the finger,"A broken finger or finger fracture is a common type of bone fracture, affecting a finger. Symptoms may include pain, swelling, tenderness, bruising, deformity and reduced ability to move the finger. Although most finger fractures are easy to treat, failing to deal with a fracture appropriately may result in long-term pain and disability."
hirschsprung disease,"Hirschsprung's disease is a birth defect in which nerves are missing from parts of the intestine. The most prominent symptom is constipation. Other symptoms may include vomiting, abdominal pain, diarrhea and slow growth. Most children develop signs and symptoms shortly after birth. However, others may be diagnosed later in infancy or early childhood. About half of all children with Hirschsprung's disease are diagnosed in the first year of life. Complications may include enterocolitis, megacolon, bowel obstruction and intestinal perforation."
polymyalgia rheumatica,"Polymyalgia rheumatica (PMR) is a systemic inflammatory disease characterized by pain or stiffness, usually in the neck, shoulders, upper arms, and hips, but which may occur all over the body. Almost all cases occur in people age 50 or older. Pain and stiffness of PMR is worst in the morning and improves throughout the day, but these symptoms frequently persist to some extent throughout the day and into the evening."
lymphedema,"Lymphedema, also known as lymphoedema and lymphatic edema, is a condition of localized swelling caused by a compromised lymphatic system. The lymphatic system functions as a critical portion of the body's immune system and returns interstitial fluid to the bloodstream."
bladder cancer,"Bladder cancer is the abnormal growth of cells in the bladder. These cells can grow to form a tumor, which eventually spreads, damaging the bladder and other organs. Most people with bladder cancer are diagnosed after noticing blood in their urine. Those suspected of having bladder cancer typically have their bladder inspected by a thin medical camera, a procedure called cystoscopy. Suspected tumors are removed and examined to determine if they are cancerous. Based on how far the tumor has spread, the cancer case is assigned a stage 0 to 4; a higher stage indicates a more widespread and dangerous disease."
acute bronchospasm,"Beta blockers, also spelled β-blockers, are a class of medications that are predominantly used to manage abnormal heart rhythms (arrhythmia), and to protect the heart from a second heart attack after a first heart attack. They are also widely used to treat high blood pressure, although they are no longer the first choice for initial treatment of most people."
acute glaucoma,"Glaucoma is a group of eye diseases that can lead to damage of the optic nerve. The optic nerve transmits visual information from the eye to the brain. Glaucoma may cause vision loss if left untreated. It has been called the ""silent thief of sight"" because the loss of vision usually occurs slowly over a long period of time. A major risk factor for glaucoma is increased pressure within the eye, known as intraocular pressure (IOP). It is associated with old age, a family history of glaucoma, and certain medical conditions or the use of some medications. The word glaucoma comes from the Ancient Greek word γλαυκός, meaning 'gleaming, blue-green, gray'."
open wound of the chest,"A wound is any disruption of or damage to living tissue, such as skin, mucous membranes, or organs. Wounds can either be the sudden result of direct trauma, or can develop slowly over time due to underlying disease processes such as diabetes mellitus, venous/arterial insufficiency, or immunologic disease. Wounds can vary greatly in their appearance depending on wound location, injury mechanism, depth of injury, timing of onset, and wound sterility, among other factors. Treatment strategies for wounds will vary based on the classification of the wound, therefore it is essential that wounds be thoroughly evaluated by a healthcare professional for proper management. In normal physiology, all wounds will undergo a series of steps collectively known as the wound healing process, which include hemostasis, inflammation, proliferation, and tissue remodeling. Age, tissue oxygenation, stress, underlying medical conditions, and certain medications are just a few of the many factors known to affect the rate of wound healing."
dislocation of the patella,"A patellar dislocation is a knee injury in which the patella (kneecap) slips out of its normal position. Often the knee is partly bent, painful and swollen. The patella is also often felt and seen out of place. Complications may include a patella fracture or arthritis."
sciatica,"Sciatica is pain going down the leg from the lower back. This pain may go down the back, outside, or front of the leg. Onset is often sudden following activities such as heavy lifting, though gradual onset may also occur. The pain is often described as shooting. Typically, symptoms are only on one side of the body. Certain causes, however, may result in pain on both sides. Lower back pain is sometimes present. Weakness or numbness may occur in various parts of the affected leg and foot."
hypercalcemia,"Hypercalcemia, also spelled hypercalcaemia, is a high calcium (Ca2+) level in the blood serum. The normal range for total calcium is 2.1–2.6 mmol/L (8.8–10.7 mg/dL, 4.3–5.2 mEq/L), with levels greater than 2.6 mmol/L defined as hypercalcemia. Those with a mild increase that has developed slowly typically have no symptoms. In those with greater levels or rapid onset, symptoms may include abdominal pain, bone pain, confusion, depression, weakness, kidney stones or an abnormal heart rhythm including cardiac arrest."
stress incontinence,"Stress incontinence, also known as stress urinary incontinence (SUI) or effort incontinence is a form of urinary incontinence. It is due to inadequate closure of the bladder outlet by the urethral sphincter."
varicose veins,"Varicose veins, also known as varicoses, are a medical condition in which superficial veins become enlarged and twisted. Although usually just a cosmetic ailment, in some cases they cause fatigue, pain, itching, and nighttime leg cramps. These veins typically develop in the legs, just under the skin. Their complications can include bleeding, skin ulcers, and superficial thrombophlebitis. Varices in the scrotum are known as varicocele, while those around the anus are known as hemorrhoids. The physical, social, and psychological effects of varicose veins can lower their bearers' quality of life."
benign kidney cyst,"A renal cyst is a fluid collection in or on the kidney. There are several types based on the Bosniak classification. The majority are benign, simple cysts that can be monitored and not intervened upon. However, some are cancerous or are suspicious for cancer and are commonly removed in a surgical procedure called nephrectomy."
hydrocele of the testicle,"A hydrocele testis is an accumulation of clear fluid within the cavum vaginale, the potential space between the layers of the tunica vaginalis of the testicle. It is the most common form of hydrocele and is often referred to simply as a ""hydrocele"". A primary hydrocele testis causes a painless enlargement in the scrotum on the affected side and is thought to be due to the defective absorption of fluid secreted between the two layers of the tunica vaginalis. A secondary hydrocele is secondary to either inflammation or a neoplasm in the testis."
degenerative disc disease,"Degenerative disc disease (DDD) is a medical condition typically brought on by the aging process in which there are anatomic changes and possibly a loss of function of one or more intervertebral discs of the spine. DDD can take place with or without symptoms, but is typically identified once symptoms arise. The root cause is thought to be loss of soluble proteins within the fluid contained in the disc with resultant reduction of the oncotic pressure, which in turn causes loss of fluid volume. Normal downward forces cause the affected disc to lose height, and the distance between vertebrae is reduced. The anulus fibrosus, the tough outer layers of a disc, also weakens. This loss of height causes laxity of the longitudinal ligaments, which may allow anterior, posterior, or lateral shifting of the vertebral bodies, causing facet joint malalignment and arthritis; scoliosis; cervical hyperlordosis; thoracic hyperkyphosis; lumbar hyperlordosis; narrowing of the space available for the spinal tract within the vertebra ; or narrowing of the space through which a spinal nerve exits with resultant inflammation and impingement of a spinal nerve, causing a radiculopathy."
hirsutism,"Hirsutism is excessive body hair on parts of the body where hair is normally absent or minimal. The word is from early 17th century: from Latin hirsutus meaning ""hairy"". It usually refers to a male pattern of hair growth in a female that may be a sign of a more serious medical condition, especially if it develops well after puberty. Cultural stigma against hirsutism can cause much psychological distress and social difficulty. Discrimination based on facial hirsutism often leads to the avoidance of social situations and to symptoms of anxiety and depression."
dislocation of the foot,"A joint dislocation, also called luxation, occurs when there is an abnormal separation in the joint, where two or more bones meet. A partial dislocation is referred to as a subluxation. Dislocations are commonly caused by sudden trauma to the joint like during a car accident or fall. A joint dislocation can damage the surrounding ligaments, tendons, muscles, and nerves. Dislocations can occur in any major joint or minor joint. The most common joint dislocation is a shoulder dislocation."
hydronephrosis,"Hydronephrosis describes hydrostatic dilation of the renal pelvis and calyces as a result of obstruction to urine flow downstream. Alternatively, hydroureter describes the dilation of the ureter, and hydronephroureter describes the dilation of the entire upper urinary tract."
diverticulosis,"Diverticulosis is the condition of having multiple pouches (diverticula) in the colon that are not inflamed. These are outpockets of the colonic mucosa and submucosa through weaknesses of muscle layers in the colon wall. Diverticula do not cause symptoms in most people. Diverticular disease occurs when diverticula become clinically inflamed, a condition known as diverticulitis."
pain after an operation,"Phantom pain is a painful perception that an individual experiences relating to a limb or an organ that is not physically part of the body, either because it was removed or was never there in the first place."
huntington disease,"Huntington's disease (HD), also known as Huntington's chorea, is an incurable neurodegenerative disease that is mostly inherited. The earliest symptoms are often subtle problems with mood or mental/psychiatric abilities. A general lack of coordination and an unsteady gait often follow. It is also a basal ganglia disease causing a hyperkinetic movement disorder known as chorea. As the disease advances, uncoordinated, involuntary body movements of chorea become more apparent. Physical abilities gradually worsen until coordinated movement becomes difficult and the person is unable to talk. Mental abilities generally decline into dementia, depression, apathy, and impulsivity at times. The specific symptoms vary somewhat between people. Symptoms usually begin between 30 and 50 years of age, and can start at any age but are usually seen around the age of 40. The disease may develop earlier in each successive generation. About eight percent of cases start before the age of 20 years, and are known as juvenile HD, which typically present with the slow movement symptoms of Parkinson's disease rather than those of chorea."
lymphoma,"Lymphoma is a group of blood and lymph tumors that develop from lymphocytes. The name typically refers to just the cancerous versions rather than all such tumours. Signs and symptoms may include enlarged lymph nodes, fever, drenching sweats, unintended weight loss, itching, and constantly feeling tired. The enlarged lymph nodes are usually painless. The sweats are most common at night."
dermatitis due to sun exposure,"Phytophotodermatitis, also known as berloque dermatitis, margarita photodermatitis, lime disease or lime phytodermatitis is a cutaneous phototoxic inflammatory reaction resulting from contact with a light-sensitizing botanical agent followed by exposure to ultraviolet A (UV-A) light. Symptoms include erythema, edema, blisters, and delayed hyperpigmentation. Heat and moisture tend to exacerbate the reaction."
anemia due to chronic kidney disease,"Chronic kidney disease (CKD) is a type of long-term kidney disease, in which either there is a gradual loss of kidney function which occurs over a period of months to years, or an abnormal kidney structure. Initially, patients are usually asymptomatic, but later symptoms may include leg swelling, feeling tired, vomiting, loss of appetite, and confusion. Complications can relate to hormonal dysfunction of the kidneys and include high blood pressure, bone disease, and anemia. Additionally CKD patients have markedly increased cardiovascular complications with increased risks of death and hospitalization. CKD can lead to end-stage kidney failure requiring kidney dialysis or kidney transplantation."
injury to internal organ,"Adhesions are fibrous bands that form between tissues and organs, often as a result of injury during surgery. They may be thought of as internal scar tissue that connects tissues not normally connected."
scleritis,"Scleritis is a serious inflammatory disease that affects the white outer coating of the eye, known as the sclera. The disease is often contracted through association with other diseases of the body, such as granulomatosis with polyangiitis or rheumatoid arthritis. There are three types of scleritis: diffuse scleritis, nodular scleritis, and necrotizing scleritis. Scleritis may be the first symptom of onset of connective tissue disease."
pterygium,"A pterygium is any wing-like triangular membrane occurring in the neck, eyes, knees, elbows, ankles or digits."
fungal infection of the skin,"Fungal infection, also known as mycosis, is a disease caused by fungi. Different types are traditionally divided according to the part of the body affected: superficial, subcutaneous, and systemic. Superficial fungal infections include common tinea of the skin, such as tinea of the body, groin, hands, feet and beard, and yeast infections such as pityriasis versicolor. Subcutaneous types include eumycetoma and chromoblastomycosis, which generally affect tissues in and beneath the skin. Systemic fungal infections are more serious and include cryptococcosis, histoplasmosis, pneumocystis pneumonia, aspergillosis and mucormycosis. Signs and symptoms range widely. There is usually a rash with superficial infection. Fungal infection within the skin or under the skin may present with a lump and skin changes. Pneumonia-like symptoms or meningitis may occur with a deeper or systemic infection."
insulin overdose,"Claus von Bülow was a British lawyer, consultant and socialite. In 1982, he was convicted of both the attempted murder of his wife Sunny von Bülow in 1979, which had left her in a temporary coma, as well as an alleged insulin overdose in 1980 that left her in a persistent vegetative state for the rest of her life. On appeal, both convictions were reversed, and Bülow was found not guilty at his second trial."
syndrome of inappropriate secretion of adh (siadh),"Syndrome of inappropriate antidiuretic hormone secretion (SIADH), also known as the syndrome of inappropriate antidiuresis (SIAD), is characterized by a physiologically inappropriate release of antidiuretic hormone (ADH) either from the posterior pituitary gland, or an ectopic non-pituitary source, such as an ADH-secreting tumor in the lung. Unsuppressed ADH causes a physiologically inappropriate increase in solute-free water being reabsorbed by the tubules of the kidney to the venous circulation leading to hypotonic hyponatremia."
foreign body in the ear,"A foreign body (FB) is any object originating outside the body of an organism. In machinery, it can mean any unwanted intruding object."
premenstrual tension syndrome,"Premenstrual syndrome (PMS) is a disruptive set of emotional and physical symptoms that regularly occur in the one to two weeks before the start of each menstrual period. Symptoms resolve around the time menstrual bleeding begins. Symptoms vary, though commonly include one or more physical, emotional, or behavioral symptoms, that resolve with menses. The range of symptoms is wide, and most commonly are breast tenderness, bloating, headache, mood swings, depression, anxiety, anger, and irritability. To be diagnosed as PMS, rather than a normal discomfort of the menstrual cycle, these symptoms must interfere with daily living, during two menstrual cycles of prospective recording. PMS-related symptoms are often present for about six days. An individual's pattern of symptoms may change over time. PMS does not produce symptoms during pregnancy or following menopause."
orbital cellulitis,"Orbital cellulitis is inflammation of eye tissues behind the orbital septum. It is most commonly caused by an acute spread of infection into the eye socket from either the adjacent sinuses or through the blood. It may also occur after trauma. When it affects the rear of the eye, it is known as retro-orbital cellulitis."
injury to the leg,"The calf is the back portion of the lower leg in human anatomy. The muscles within the calf correspond to the posterior compartment of the leg. The two largest muscles within this compartment are known together as the calf muscle and attach to the heel via the Achilles tendon. Several other, smaller muscles attach to the knee, the ankle, and via long tendons to the toes."
hepatic encephalopathy,"Hepatic encephalopathy (HE) is an altered level of consciousness as a result of liver failure. Its onset may be gradual or sudden. Other symptoms may include movement problems, changes in mood, or changes in personality. In the advanced stages, it can result in a coma."
bone cancer,"A bone tumor is an abnormal growth of tissue in bone, traditionally classified as noncancerous (benign) or cancerous (malignant). Cancerous bone tumors usually originate from a cancer in another part of the body such as from lung, breast, thyroid, kidney and prostate. There may be a lump, pain, or neurological signs from pressure. A bone tumor might present with a pathologic fracture. Other symptoms may include fatigue, fever, weight loss, anemia and nausea. Sometimes there are no symptoms and the tumour is found when investigating another problem."
syringomyelia,"Syringomyelia is a generic term referring to a disorder in which a cyst or cavity forms within the spinal cord. Often, syringomyelia is used as a generic term before an etiology is determined. This cyst, called a syrinx, can expand and elongate over time, destroying the spinal cord. The damage may result in loss of feeling, paralysis, weakness, and stiffness in the back, shoulders, and extremities."
pulmonary fibrosis,"Pulmonary fibrosis is a condition in which the lungs become scarred over time. Symptoms include shortness of breath, a dry cough, feeling tired, weight loss, and nail clubbing. Complications may include pulmonary hypertension, respiratory failure, pneumothorax, and lung cancer."
mitral valve disease,"Mitral regurgitation (MR), also known as mitral insufficiency or mitral incompetence, is a form of valvular heart disease in which the mitral valve is insufficient and does not close properly when the heart pumps out blood. It is the abnormal leaking of blood backwards – regurgitation from the left ventricle, through the mitral valve, into the left atrium, when the left ventricle contracts. Mitral regurgitation is the most common form of valvular heart disease."
parkinson disease,"Parkinson's disease (PD), or simply Parkinson's, is a neurodegenerative disease primarily of the central nervous system, affecting both motor and non-motor systems. Symptoms typically develop gradually, with non-motor issues becoming more prevalent as the disease progresses. The motor symptoms are collectively called parkinsonism and include tremors, bradykinesia, rigidity as well as postural instability. Non-motor symptoms develop later in the disease and include behavioral changes or neuropsychiatric problems such as sleep abnormalities, psychosis, and mood swings."
gout,"Gout is a form of inflammatory arthritis characterized by recurrent attacks of pain in a red, tender, hot, and swollen joint, caused by the deposition of needle-like crystals of uric acid known as monosodium urate crystals. Pain typically comes on rapidly, reaching maximal intensity in less than 12 hours. The joint at the base of the big toe is affected (Podagra) in about half of cases. It may also result in tophi, kidney stones, or kidney damage."
otitis media,"Otitis media is a group of inflammatory diseases of the middle ear. One of the two main types is acute otitis media (AOM), an infection of rapid onset that usually presents with ear pain. In young children this may result in pulling at the ear, increased crying, and poor sleep. Decreased eating and a fever may also be present."
drug abuse (opioids),"The opioid epidemic, also referred to as the opioid crisis, is the rapid increase in the overuse, misuse/abuse, and overdose deaths attributed either in part or in whole to the class of drugs called opiates/opioids since the 1990s. It includes the significant medical, social, psychological, demographic and economic consequences of the medical, non-medical, and recreational abuse of these medications."
myelodysplastic syndrome,"A myelodysplastic syndrome (MDS) is one of a group of cancers in which blood cells in the bone marrow do not mature, and as a result, do not develop into healthy blood cells. Early on, no symptoms typically are seen. Later, symptoms may include fatigue, shortness of breath, bleeding disorders, anemia, or frequent infections. Some types may develop into acute myeloid leukemia."
fracture of the shoulder,"A scapular fracture is a fracture of the scapula, the shoulder blade. The scapula is sturdy and located in a protected place, so it rarely breaks. When it does, it is an indication that the individual was subjected to a considerable amount of force and that severe chest trauma may be present. High-speed vehicle accidents are the most common cause. This could be anywhere from a car accident, motorcycle crash, or high speed bicycle crash but falls and blows to the area can also be responsible for the injury. Signs and symptoms are similar to those of other fractures: they include pain, tenderness, and reduced motion of the affected area although symptoms can take a couple of days to appear. Imaging techniques such as X-ray are used to diagnose scapular fracture, but the injury may not be noticed in part because it is so frequently accompanied by other, severe injuries that demand attention. The injuries that usually accompany scapular fracture generally have the greatest impact on the patient's outcome. However, the injury can also occur by itself; when it does, it does not present a significant threat to life. Treatment involves pain control and immobilizing the affected area, and, later, physical therapy."
acute kidney injury,"Acute kidney injury (AKI), previously called acute renal failure (ARF), is a sudden decrease in kidney function that develops within seven days, as shown by an increase in serum creatinine or a decrease in urine output, or both."
threatened pregnancy,"Early pregnancy bleeding is vaginal bleeding before 14 weeks of gestational age. If the bleeding is significant, hemorrhagic shock may occur. Concern for shock is increased in those who have loss of consciousness, chest pain, shortness of breath, or shoulder pain."
intracranial abscess,Brain abscess is an abscess within the brain tissue caused by inflammation and collection of infected material coming from local or remote infectious sources. The infection may also be introduced through a skull fracture following a head trauma or surgical procedures. Brain abscess is usually associated with congenital heart disease in young children. It may occur at any age but is most frequent in the third decade of life.
gum disease,"Periodontal disease, also known as gum disease, is a set of inflammatory conditions affecting the tissues surrounding the teeth. In its early stage, called gingivitis, the gums become swollen and red and may bleed. It is considered the main cause of tooth loss for adults worldwide. In its more serious form, called periodontitis, the gums can pull away from the tooth, bone can be lost, and the teeth may loosen or fall out. Halitosis may also occur."
open wound from surgical incision,"A surgical incision is a cut made through the skin and soft tissue to facilitate an operation or procedure. Often, multiple incisions are possible for an operation. In general, a surgical incision is made as small and unobtrusive as possible to facilitate safe and timely operating conditions and recovery."
